Musym,VPSCode,CLUSTER,AWC_Lower,NYProd_lb_ac,X__of_Cluster
141,141.0,5.0,2.465,1e3,0.17662644737453181
142,142.0,10.0,2.1425,900.0,0.08670751321920873
143,143.0,3.0,8.7345,1200.0,0.08997377371881671
144,144.0,3.0,8.24925,1200.0,0.5529484067476592
145,145.0,3.0,7.764000000000001,1100.0,0.10117867066361245
146,146.0,2.0,5.50375,700.0,0.005447682921553193
147,147.0,2.0,5.37625,700.0,0.01329923690361666
149,149.0,7.0,1.768,400.0,0.024369613768346413
150,150.0,2.0,4.3229999999999995,400.0,0.0518830560586085
151,151.0,10.0,0.816,300.0,0.013371684706572856
152,152.0,10.0,0.768,300.0,0.020644622822069213
128B,153.0,7.0,3.4375,350.0,2.3039325745125442e-4
208C,154.0,7.0,2.3925,500.0,1.1814110242323415e-4
390F,155.0,7.0,1.6395,350.0,0.01171607658862662
391D,156.0,5.0,3.1045,800.0,0.029177233501404182
401C,157.0,7.0,2.2907499999999996,400.0,0.003605452932249408
510C,158.0,1.0,8.493500000000001,600.0,0.04538345098260608
511D,159.0,1.0,7.0755,800.0,0.02737750978360233
550C,160.0,5.0,2.68,800.0,0.05832436454183281
550D,161.0,10.0,1.561,800.0,0.06791621338495576
605D,162.0,12.0,5.022,2e3,0.33588558615220543
605F,163.0,9.0,3.5519999999999996,2e3,0.9684814318378933
615D,164.0,11.0,7.272,2e3,0.398994064376632
635F,165.0,10.0,1.7097499999999999,850.0,0.06927569339322413
910,166.0,10.0,1.215,800.0,0.0033446372615238387
15,170.0,3.0,7.532,1500.0,4.6656030297429683e-4
16,171.0,4.0,5.507999999999999,1200.0,0.004612339166008104
17,172.0,12.0,4.347,2e3,0.1272907804895988
500,174.0,8.0,2.0290000000000004,1200.0,0.0061864166650020605
504,175.0,2.0,5.122,900.0,0.12625499699170087
506,176.0,4.0,5.468500000000001,1500.0,0.029704084927812333
508,177.0,3.0,8.255,1300.0,1.039033397032942e-4
509,178.0,2.0,5.048000000000001,900.0,0.004368776425438276
510,179.0,2.0,4.8055,900.0,0.0014538860209357375
512,180.0,3.0,7.69675,1200.0,0.003364287216473149
527,181.0,5.0,2.5435,1e3,0.062972581957262
552,182.0,2.0,5.048000000000001,900.0,0.024694786360932468
553,183.0,2.0,5.797999999999999,900.0,0.011291067712475414
700,184.0,3.0,7.9335,1100.0,3.1545936132087413e-4
801,185.0,4.0,6.7,1300.0,0.019205655741828278
802,186.0,5.0,3.6345,800.0,0.11691633922573673
804,187.0,5.0,2.791500000000001,900.0,0.09179366433724648
806,188.0,6.0,7.04425,2500.0,0.08488294112316104
813,189.0,4.0,7.12,1300.0,0.006469668522542317
860,190.0,4.0,6.5415,1500.0,0.10144123808704712
955,191.0,6.0,5.424,2600.0,8.065734223484276e-4
958,192.0,7.0,2.393,400.0,4.987969935443437e-4
959,193.0,3.0,8.559,1500.0,3.0448089523901664e-4
