Year,Almagre Mountain B index,Mesa Verde Douglas Fir index
774,1002.0,665.0
775,1002.0,740.0
776,1238.0,1028.0
777,1074.0,913.0
778,1391.0,715.0
779,980.0,731.0
780,1018.0,1323.0
781,1120.0,1060.0
782,1056.0,329.0
783,814.0,1271.0
784,792.0,1112.0
785,962.0,1332.0
786,969.0,1255.0
787,786.0,1310.0
788,915.0,751.0
789,881.0,1523.0
790,874.0,1351.0
791,860.0,1225.0
792,855.0,1371.0
793,778.0,872.0
794,1107.0,1843.0
795,1129.0,733.0
796,927.0,1780.0
797,1105.0,131.0
798,1109.0,1919.0
799,848.0,1693.0
800,1105.0,1761.0
801,1242.0,536.0
802,1254.0,1722.0
803,1076.0,2267.0
804,1211.0,1342.0
805,1093.0,999.0
806,1050.0,914.0
807,1004.0,694.0
808,903.0,466.0
809,977.0,32.0
810,1023.0,1225.0
811,1173.0,745.0
812,1211.0,739.0
813,1020.0,1245.0
814,946.0,1644.0
815,960.0,1282.0
816,976.0,1066.0
817,1263.0,595.0
818,1264.0,534.0
819,1160.0,262.0
820,1261.0,1485.0
821,1196.0,1650.0
822,1215.0,1561.0
823,833.0,296.0
824,908.0,847.0
825,1400.0,579.0
826,1118.0,1127.0
827,1148.0,688.0
828,1248.0,1230.0
829,1214.0,336.0
830,912.0,460.0
831,897.0,1090.0
832,1075.0,1046.0
833,945.0,789.0
834,976.0,754.0
835,933.0,455.0
836,944.0,1308.0
837,917.0,792.0
838,934.0,1064.0
839,978.0,802.0
840,867.0,251.0
841,870.0,883.0
842,1019.0,565.0
843,1057.0,1121.0
844,767.0,515.0
845,904.0,1097.0
846,857.0,737.0
847,981.0,371.0
848,978.0,978.0
849,1182.0,742.0
850,1102.0,1025.0
851,890.0,720.0
852,919.0,1768.0
853,1121.0,1579.0
854,1198.0,1763.0
855,1141.0,1370.0
856,1190.0,1671.0
857,1097.0,506.0
858,1304.0,1599.0
859,992.0,1026.0
860,1207.0,1374.0
861,1245.0,1460.0
862,960.0,1858.0
863,983.0,587.0
864,727.0,1470.0
865,1217.0,1154.0
866,1171.0,763.0
867,1169.0,353.0
868,933.0,604.0
869,919.0,1454.0
870,1096.0,693.0
871,937.0,1133.0
872,1146.0,1187.0
873,970.0,1029.0
874,694.0,1083.0
875,1049.0,1144.0
876,1131.0,1337.0
877,865.0,464.0
878,1363.0,641.0
879,1131.0,985.0
880,1092.0,528.0
881,1258.0,1085.0
882,1220.0,936.0
883,876.0,627.0
884,1079.0,295.0
885,995.0,1120.0
886,1160.0,1226.0
887,1341.0,1218.0
888,1041.0,1005.0
889,809.0,1194.0
890,1240.0,1302.0
891,1213.0,1080.0
892,847.0,597.0
893,935.0,1051.0
894,963.0,369.0
895,729.0,516.0
896,1215.0,1727.0
897,742.0,1397.0
898,761.0,1252.0
899,629.0,2011.0
900,744.0,1904.0
901,659.0,669.0
902,844.0,1525.0
903,1033.0,605.0
904,1010.0,773.0
905,838.0,1373.0
906,631.0,227.0
907,536.0,250.0
908,701.0,1067.0
909,904.0,1421.0
910,722.0,1430.0
911,846.0,1734.0
912,563.0,1571.0
913,594.0,1362.0
914,752.0,1495.0
915,686.0,1275.0
916,825.0,880.0
917,885.0,1450.0
918,761.0,1215.0
919,867.0,1430.0
920,1024.0,1011.0
921,1041.0,1136.0
922,661.0,449.0
923,959.0,244.0
924,733.0,375.0
925,904.0,814.0
926,1121.0,898.0
927,810.0,697.0
928,907.0,1111.0
929,1009.0,1291.0
930,908.0,467.0
931,893.0,1026.0
932,907.0,922.0
933,1093.0,803.0
934,853.0,930.0
935,1183.0,913.0
936,1282.0,977.0
937,1055.0,468.0
938,1290.0,1053.0
939,1336.0,604.0
940,1160.0,730.0
941,1179.0,959.0
942,935.0,1236.0
943,1173.0,978.0
944,870.0,1208.0
945,981.0,971.0
946,973.0,1392.0
947,888.0,1267.0
948,861.0,1492.0
949,955.0,1224.0
950,985.0,1241.0
951,1015.0,860.0
952,1142.0,1294.0
953,1250.0,738.0
954,1056.0,616.0
955,949.0,493.0
956,935.0,1454.0
957,1025.0,496.0
958,976.0,513.0
959,745.0,946.0
960,1003.0,1333.0
961,1020.0,985.0
962,1291.0,1339.0
963,1225.0,1016.0
964,1429.0,1143.0
965,1351.0,844.0
966,1400.0,1602.0
967,991.0,1283.0
968,971.0,977.0
969,930.0,653.0
970,988.0,1066.0
971,974.0,1248.0
972,1284.0,230.0
973,1613.0,1902.0
974,1352.0,1730.0
975,1067.0,848.0
976,975.0,820.0
977,1120.0,1531.0
978,920.0,765.0
979,1021.0,921.0
980,761.0,135.0
981,1233.0,178.0
982,1542.0,1028.0
983,952.0,458.0
984,1014.0,588.0
985,1123.0,980.0
986,928.0,917.0
987,1184.0,1731.0
988,1116.0,1862.0
989,888.0,2372.0
990,747.0,1367.0
991,621.0,429.0
992,863.0,898.0
993,821.0,822.0
994,907.0,956.0
995,1064.0,980.0
996,595.0,1255.0
997,868.0,845.0
998,558.0,999.0
999,586.0,714.0
1000,860.0,969.0
1001,938.0,556.0
1002,750.0,553.0
1003,1e3,951.0
1004,1126.0,759.0
1005,672.0,115.0
1006,542.0,1152.0
1007,1121.0,1091.0
1008,972.0,1109.0
1009,775.0,312.0
1010,904.0,782.0
1011,746.0,892.0
1012,768.0,1119.0
1013,821.0,640.0
1014,687.0,904.0
1015,886.0,1116.0
1016,978.0,1260.0
1017,959.0,1274.0
1018,966.0,754.0
1019,1091.0,240.0
1020,1013.0,1218.0
1021,1135.0,1130.0
1022,1091.0,982.0
1023,911.0,1262.0
1024,1114.0,1537.0
1025,1016.0,1333.0
1026,985.0,934.0
1027,1028.0,1131.0
1028,999.0,1064.0
1029,896.0,1197.0
1030,1031.0,593.0
1031,858.0,746.0
1032,1199.0,449.0
1033,1024.0,536.0
1034,913.0,967.0
1035,832.0,539.0
1036,895.0,495.0
1037,881.0,1204.0
1038,666.0,842.0
1039,927.0,891.0
1040,900.0,1009.0
1041,791.0,468.0
1042,1055.0,1373.0
1043,753.0,882.0
1044,1006.0,647.0
1045,978.0,856.0
1046,1031.0,494.0
1047,959.0,1189.0
1048,647.0,559.0
1049,814.0,1241.0
1050,1138.0,1209.0
1051,1019.0,780.0
1052,1059.0,1457.0
1053,1004.0,943.0
1054,959.0,1232.0
1055,963.0,527.0
1056,811.0,1309.0
1057,1103.0,1050.0
1058,1128.0,1410.0
1059,1009.0,1148.0
1060,1140.0,918.0
1061,1057.0,1193.0
1062,1103.0,398.0
1063,865.0,1985.0
1064,771.0,1750.0
1065,997.0,2103.0
1066,886.0,1618.0
1067,818.0,760.0
1068,900.0,688.0
1069,872.0,1236.0
1070,673.0,1244.0
1071,620.0,757.0
1072,1028.0,1245.0
1073,848.0,1026.0
1074,885.0,1221.0
1075,1045.0,1231.0
1076,1006.0,1345.0
1077,953.0,1323.0
1078,801.0,1178.0
1079,866.0,1537.0
1080,1056.0,2233.0
1081,1111.0,791.0
1082,916.0,791.0
1083,653.0,834.0
1084,856.0,1251.0
1085,1016.0,294.0
1086,1104.0,854.0
1087,1065.0,1397.0
1088,1065.0,1425.0
1089,1038.0,1179.0
1090,386.0,180.0
1091,655.0,538.0
1092,784.0,1015.0
