structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
,,Single grain,NA,NA,27704432,33874206
Weak,Coarse,Prismatic,1,2,27704434,33874209
Moderate,Medium,Subangular blocky,2,NA,27704434,33874210
Moderate,Medium,Prismatic,1,2,27704433,33874207
Moderate,Medium,Angular blocky,2,NA,27704433,33874208
Moderate,Medium,Prismatic,1,2,27704509,33874318
Moderate,Medium,Subangular blocky,2,NA,27704509,33874319
Moderate,Medium,Granular,NA,NA,27704859,33874798
Weak,Medium,Subangular blocky,NA,NA,27704860,33874799
