areaovacres,lareaovkey,mukey,muareaovkey
NA,404211,57563,24004463
7660,404212,57563,24004464
9095,404213,57563,24004465
16755,404215,57563,24004466
10,404217,57563,24004467
NA,404219,57563,24004468
16755,404221,57563,24004469
