cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Alfalfa hay,Tons,NA,1,NA,NA,2.5,NA,57563,13281083
Dry pinto beans,Lbs,NA,300,NA,NA,NA,NA,57563,13281084
Pasture,AUM,NA,0.6,NA,NA,3.5,NA,57563,13281085
Wheat,Bu,NA,15,NA,NA,40,NA,57563,13281086
