geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,drainageways,,NA,NA,Yes,17724263,26866733
Landform,draws,,NA,NA,Yes,17724266,26866734
Landform,flood plains,,NA,NA,Yes,17724266,26866735
Landform,drainageways,,NA,NA,Yes,17724266,26866736
