aashtocl,rvindicator,chkey,chaashtokey
A-6,No ,51712444,84487616
A-4,No ,51712445,84487617
A-6,No ,51712446,84487618
A-8,Yes,51712448,84487619
A-6,No ,51712449,84487620
A-4,No ,51712450,84487621
