texcl,lieutex,chtgkey,chtkey
Clay loam,,103291098,105060961
Clay,,103291099,105060679
Clay,,103291101,105061356
Clay loam,,103291102,105061357
Loam,,103291103,105061358
Loam,,103291100,105060960
Clay,,103291104,105061672
Clay loam,,103291105,105060680
Loam,,103291106,105061673
,Slightly decomposed plant material,103291107,105060700
Clay loam,,103291108,105060109
Silty clay loam,,103291109,105059949
Loam,,103291110,105060275
