ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R036XY284CO,Loamy Foothills,17724562,5366646
NRCS Rangeland Site,Ecological Site Description Database,R036XY284CO,Loamy Foothills,17724585,5366647
