cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Alfalfa hay,Tons,NA,2,NA,NA,5,NA,NA,NA,17724650,36566137
Dry pinto beans,Lbs,NA,450,NA,NA,NA,NA,NA,NA,17724650,36566138
Pasture,AUM,NA,0.7,NA,NA,6.5,NA,NA,NA,17724650,36566139
Winter wheat,Bu,NA,18,NA,NA,60,NA,NA,NA,17724650,36566140
