pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,NA,,Eolian deposits,Sandstone,12809956,17968303
NA,NA,,Eolian deposits,Sandstone,12809957,17968304
NA,NA,,Eolian deposits,Sandstone,12809958,17968305
NA,NA,,Alluvium,,12809959,17968306
NA,NA,,Alluvium,Sandstone and shale,12809960,17968307
