texcl,lieutex,chtgkey,chtkey
Loam,,103291429,105061001
Loam,,103291432,105060732
Loam,,103291486,105060445
Loam,,103291488,105060286
Clay loam,,103291489,105060120
Silty clay loam,,103291490,105059961
Clay loam,,103291430,105061250
Loam,,103291431,105061000
Loam,,103291483,105060446
Clay loam,,103291484,105060285
Silty clay loam,,103291485,105060119
,Weathered bedrock,103291487,105059962
