ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R048AY234CO,Mountain Clay,17724381,5366613
NRCS Rangeland Site,Ecological Site Description Database,R048AY228CO,Mountain Loam,17724385,5366614
