cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Alfalfa hay,Tons,NA,2,NA,NA,5,NA,57614,13280968
Dry pinto beans,Lbs,NA,500,NA,NA,NA,NA,57614,13280969
Pasture,AUM,NA,1,NA,NA,7,NA,57614,13280970
Winter wheat,Bu,NA,20,NA,NA,65,NA,57614,13280971
