featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Ochric epipedon,NA,0,NA,NA,13,NA,NA,NA,NA,17724562,8648859
Argillic horizon,NA,13,NA,NA,64,NA,NA,NA,NA,17724562,8648860
Calcic horizon,NA,64,NA,NA,NA,NA,NA,NA,NA,17724562,8648861
Secondary carbonates,NA,38,NA,NA,NA,NA,NA,NA,NA,17724562,8648862
Argillic horizon,NA,23,NA,NA,48,NA,NA,NA,NA,17724585,8648855
Paralithic contact,NA,76,NA,NA,NA,NA,NA,NA,NA,17724585,8648856
Secondary carbonates,NA,48,NA,NA,NA,NA,NA,NA,NA,17724585,8648857
Ochric epipedon,NA,0,NA,NA,23,NA,NA,NA,NA,17724585,8648858
