cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Alfalfa hay,Tons,NA,2,NA,NA,5,NA,NA,NA,17724266,36565961
Dry pinto beans,Lbs,NA,500,NA,NA,NA,NA,NA,NA,17724266,36565962
Pasture,AUM,NA,1,NA,NA,7,NA,NA,NA,17724266,36565963
Winter wheat,Bu,NA,20,NA,NA,65,NA,NA,NA,17724266,36565964
