comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,85,NA,Wetherill,Series,Yes,,,3,5,6,46,49,61,,5,56,5,,,,,No,Well drained,1890,2073,2256,NA,NA,NA,dip slopes on cuestas,NA,0.23,NA,7.8,8.9,10,330,381,406,330,381,406,100,110,120,4,e,NA,3,e,NA,NA,NA,NA,800,1200,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,NA,NA,NA,B,Low,Moderate,"Fine-silty, mixed, superactive, mesic Aridic Haplustalfs",Alfisols,Ustalfs,Haplustalfs,Aridic Haplustalfs,fine-silty,not used,superactive,not used,mesic,Aridic (torric),mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57594,17724650
NA,5,NA,Pulpit,Series,No ,,,3,4,6,46,55,61,,2,48,6,,,,,No,Well drained,1890,2073,2256,NA,NA,NA,dip slopes on cuestas,NA,0.23,NA,7.8,8.9,10,330,381,406,330,381,406,100,110,120,4,e,NA,3,e,NA,NA,NA,NA,600,800,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,C,Low,Low,"Fine-silty, mixed, superactive, mesic Aridic Haplustalfs",Alfisols,Ustalfs,Haplustalfs,Aridic Haplustalfs,fine-silty,not used,superactive,not used,mesic,Aridic (torric),mesic,eleventh edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57594,17724651
NA,5,NA,Sharps,Series,No ,,,3,4,6,46,55,61,,3,48,6,,,,,No,Well drained,1890,2073,2256,NA,NA,NA,dip slopes on cuestas,NA,0.3,NA,7.8,8.9,10,330,381,406,330,381,406,100,110,120,4,e,NA,3,e,NA,NA,NA,NA,700,900,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,C,Low,Low,"Fine-silty, mixed, superactive, mesic Aridic Haplustalfs",Alfisols,Ustalfs,Haplustalfs,Aridic Haplustalfs,fine-silty,not used,superactive,not used,mesic,Aridic (torric),mesic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57594,17724682
NA,3,NA,Ackmen,Series,No ,,,1,2,3,61,91,91,,5,48,6,,,,,No,Well drained,1890,2073,2256,NA,NA,NA,draws,NA,0.16,NA,7.8,8.9,10,330,381,406,330,381,406,100,110,120,4,e,NA,3,e,NA,NA,NA,NA,800,1100,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,B,Low,Low,"Fine-silty, mixed, superactive, mesic Cumulic Haplustolls",Mollisols,Ustolls,Haplustolls,Cumulic Haplustolls,fine-silty,not used,superactive,not used,mesic,Aridic (torric),mesic,eighth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57594,17724683
NA,2,NA,Pogo,Series,No ,,,0,2,3,30,91,91,,5,48,6,,,,,Yes,Poorly drained,1890,2073,2256,NA,NA,NA,drainageways,NA,0.16,NA,7.8,8.9,10,330,381,406,330,381,406,100,110,120,4,w,NA,3,w,NA,NA,NA,NA,2000,3000,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,NA,NA,NA,C/D,High,High,"Fine-loamy, mixed, superactive, calcareous, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine-loamy,not used,superactive,calcareous,mesic,Typic,mesic,tenth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57594,17724684
