geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
,Crest,,NA,26866956,9887181
,Side Slope,,NA,26866956,9887182
,Base Slope,,NA,26866956,9887183
,Side Slope,,NA,26866961,9887180
,Base Slope,,NA,26866961,9887267
,Crest,,NA,26866961,9887268
