fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,5,9,,5,40,75,,,,51712677,88624636
0,5,9,,2,4,5,,,,51712677,88624637
0,5,9,,2,4,5,,,,51712678,88624638
0,5,9,,5,40,75,,,,51712678,88624639
0,0,0,,5,40,75,,,,51712679,88624640
0,5,9,,2,4,5,,,,51712680,88624641
0,5,9,,5,40,75,,,,51712680,88624642
