comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,60,NA,Ilex,Series,Yes,ERODED,,6,9,12,NA,NA,NA,Very high,5,48,6,,,,,No,Well drained,2164,2377,2591,130,205,280,hills,NA,0.23,NA,6.1,7.2,8.3,381,457,508,NA,NA,NA,80,90,100,4,e,NA,4,e,NA,NA,NA,NA,800,1100,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,C,Low,High,"Fine, smectitic, frigid Calcic Haplustalfs",Alfisols,Ustalfs,Haplustalfs,Calcic Haplustalfs,fine,,,not used,frigid,Typic,frigid,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57682,17724381
NA,5,NA,Fughes,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57682,17724382
NA,5,NA,Nortez,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57682,17724383
NA,5,NA,Pramiss,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57682,17724384
NA,25,NA,Granath,Series,Yes,,,6,9,12,NA,NA,NA,High,5,48,6,,,,,No,Well drained,2164,2377,2591,130,205,280,hills,NA,0.23,NA,6.1,7.2,8.3,381,457,508,NA,NA,NA,80,90,100,4,e,NA,4,e,NA,NA,NA,NA,1100,1400,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,NA,NA,NA,C,Low,Moderate,"Fine-silty, mixed, superactive, frigid Typic Argiustolls",Mollisols,Ustolls,Argiustolls,Typic Argiustolls,fine-silty,,superactive,not used,frigid,Typic,frigid,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,57682,17724385
