aashtocl,rvindicator,chkey,chaashtokey
A-4,No ,51712644,84487840
A-6,No ,51712645,84487841
A-4,No ,51712646,84487842
A-6,No ,51712677,84487876
A-4,No ,51712678,84487877
A-4,No ,51712680,84487878
