areaovacres,lareaovkey,mukey,muareaovkey
NA,404211,57682,24004247
566,404212,57682,24004248
2725,404213,57682,24004249
3291,404215,57682,24004250
NA,404220,57682,24004251
3291,404221,57682,24004252
