reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Lithic bedrock,Indurated,50,61,100,NA,NA,NA,NA,NA,NA,17724651,4885508
Paralithic bedrock,Weakly cemented,50,76,100,NA,NA,NA,NA,NA,NA,17724682,4885509
