geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,mesas,,NA,NA,Yes,17724562,26866955
Landform,hills,,NA,NA,Yes,17724562,26866956
Landform,hills,,NA,NA,Yes,17724563,26866957
Landform,mesas,,NA,NA,Yes,17724563,26866958
Landform,drainageways,,NA,NA,Yes,17724584,26866959
Landform,mesas,,NA,NA,Yes,17724585,26866960
Landform,hills,,NA,NA,Yes,17724585,26866961
