pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,NA,,Eolian deposits,Sandstone,12809907,17968237
NA,NA,,Eolian deposits,Sandstone,12809908,17968238
