structgrpname,rvindicator,chkey,chstructgrpkey
weak coarse prismatic structure parts to moderate medium subangular blocky structure,Yes,51712644,27704434
moderate medium prismatic structure parts to moderate medium angular blocky structure,Yes,51712645,27704433
single grain,Yes,51712646,27704432
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51712677,27704509
moderate medium granular structure,Yes,51712678,27704859
weak medium subangular blocky structure,Yes,51712680,27704860
