structgrpname,rvindicator,chkey,chstructgrpkey
"moderate medium subangular blocky structure, and weak medium subangular blocky structure",Yes,51712444,27704188
moderate medium platy structure parting to weak medium granular structure,Yes,51712445,27704187
massive,Yes,51712446,27704190
strong medium prismatic structure parts to strong medium angular blocky structure,Yes,51712447,27704189
"moderate medium prismatic structure parts to strong fine angular blocky structure, and strong medium angular blocky structure",Yes,51712449,27704827
strong fine granular structure,Yes,51712450,27704255
