plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
ERNAN5,Ericameria nauseosa ssp. nauseosa var. nauseosa,rubber rabbitbrush,NA,5,17724266,74749468
ACHY,Achnatherum hymenoides,Indian ricegrass,NA,5,17724266,74749469
PASM,Pascopyrum smithii,western wheatgrass,NA,20,17724266,74749470
ARTRW8,Artemisia tridentata ssp. wyomingensis,Wyoming big sagebrush,NA,15,17724266,74749471
POFE,Poa fendleriana,muttongrass,NA,30,17724266,74749472
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,17724266,74749473
ELEL5,Elymus elymoides,bottlebrush squirreltail,NA,5,17724266,74749474
