structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Coarse,Prismatic,1,2,27704206,33873869
Weak,Medium,Subangular blocky,2,NA,27704206,33873870
Weak,Coarse,Platy,NA,1,27704786,33874677
Moderate,Medium,Granular,1,NA,27704786,33874678
